"
Date",TSLA,GOOG,MSFT,AMZN,AAPL,SP500
2020/1/2 下午 4:00:00,86.05,1367.37,160.62,1898.01,75.09,324.87
2020/1/3 下午 4:00:00,88.6,1360.66,158.62,1874.97,74.36,322.41
2020/1/6 下午 4:00:00,90.31,1394.21,159.03,1902.88,74.95,323.64
2020/1/7 下午 4:00:00,93.81,1393.34,157.58,1906.86,74.6,322.73
2020/1/8 下午 4:00:00,98.43,1404.32,160.09,1891.97,75.8,324.45
2020/1/9 下午 4:00:00,96.27,1419.83,162.09,1901.05,77.41,326.65
2020/1/10 下午 4:00:00,95.63,1429.73,161.34,1883.16,77.58,325.71
2020/1/13 下午 4:00:00,104.97,1439.23,163.28,1891.3,79.24,327.95
2020/1/14 下午 4:00:00,107.58,1430.88,162.13,1869.44,78.17,327.45
2020/1/15 下午 4:00:00,103.7,1439.2,163.18,1862.02,77.83,328.19
2020/1/16 下午 4:00:00,102.7,1451.7,166.17,1877.94,78.81,330.92
2020/1/17 下午 4:00:00,102.1,1480.39,167.1,1864.72,79.68,331.95
2020/1/21 下午 4:00:00,109.44,1484.4,166.5,1892,79.14,331.3
2020/1/22 下午 4:00:00,113.91,1485.95,165.7,1887.46,79.43,331.34
2020/1/23 下午 4:00:00,114.44,1486.65,166.72,1884.58,79.81,331.72
2020/1/24 下午 4:00:00,112.96,1466.71,165.04,1861.64,79.58,328.77
2020/1/27 下午 4:00:00,111.6,1433.9,162.28,1828.34,77.24,323.5
2020/1/28 下午 4:00:00,113.38,1452.56,165.46,1853.25,79.42,326.89
2020/1/29 下午 4:00:00,116.2,1458.63,168.04,1858,81.08,326.62
2020/1/30 下午 4:00:00,128.16,1455.84,172.78,1870.68,80.97,327.68
2020/1/31 下午 4:00:00,130.11,1434.23,170.23,2008.72,77.38,321.73
2020/2/3 下午 4:00:00,156,1485.94,174.38,2004.2,77.17,324.12
2020/2/4 下午 4:00:00,177.41,1447.07,180.12,2049.67,79.71,329.06
2020/2/5 下午 4:00:00,146.94,1448.23,179.9,2039.87,80.36,332.86
2020/2/6 下午 4:00:00,149.79,1476.23,183.63,2050.23,81.3,333.98
2020/2/7 下午 4:00:00,149.61,1479.23,183.89,2079.28,80.01,332.2
2020/2/10 下午 4:00:00,154.26,1508.68,188.7,2133.91,80.39,334.68
2020/2/11 下午 4:00:00,154.88,1508.79,184.44,2150.8,79.9,335.26
2020/2/12 下午 4:00:00,153.46,1518.27,184.71,2160,81.8,337.42
2020/2/13 下午 4:00:00,160.8,1514.66,183.71,2149.87,81.22,337.06
2020/2/14 下午 4:00:00,160.01,1520.74,185.35,2134.87,81.24,337.6
2020/2/18 下午 4:00:00,171.68,1519.67,187.23,2155.67,79.75,336.73
2020/2/19 下午 4:00:00,183.48,1526.69,187.28,2170.22,80.91,338.34
2020/2/20 下午 4:00:00,179.88,1518.15,184.42,2153.1,80.08,336.95
2020/2/21 下午 4:00:00,180.2,1485.11,178.59,2095.97,78.26,333.48
2020/2/24 下午 4:00:00,166.76,1421.59,170.89,2009.29,74.55,322.42
2020/2/25 下午 4:00:00,159.98,1388.45,168.07,1972.74,72.02,312.65
2020/2/26 下午 4:00:00,155.76,1393.18,170.17,1979.59,73.16,311.5
2020/2/27 下午 4:00:00,135.8,1318.09,158.18,1884.3,68.38,297.51
2020/2/28 下午 4:00:00,133.6,1339.33,162.01,1883.75,68.34,296.26
2020/3/2 下午 4:00:00,148.72,1389.11,172.79,1953.95,74.7,309.09
2020/3/3 下午 4:00:00,149.1,1341.39,164.51,1908.99,72.33,300.24
2020/3/4 下午 4:00:00,149.9,1386.52,170.55,1975.83,75.69,312.86
2020/3/5 下午 4:00:00,144.91,1319.04,166.27,1924.03,73.23,302.46
2020/3/6 下午 4:00:00,140.7,1298.41,161.57,1901.09,72.26,297.46
2020/3/9 下午 4:00:00,121.6,1215.56,150.62,1800.61,66.54,274.23
2020/3/10 下午 4:00:00,129.07,1280.39,160.92,1891.82,71.33,288.42
2020/3/11 下午 4:00:00,126.85,1215.41,153.63,1820.86,68.86,274.36
2020/3/12 下午 4:00:00,112.11,1114.91,139.06,1676.61,62.06,248.11
2020/3/13 下午 4:00:00,109.32,1219.73,158.83,1785,69.49,269.32
2020/3/16 下午 4:00:00,89.01,1084.33,135.42,1689.15,60.55,239.85
2020/3/17 下午 4:00:00,86.04,1119.8,146.57,1807.84,63.22,252.8
2020/3/18 下午 4:00:00,72.24,1096.8,140.4,1830,61.67,240
2020/3/19 下午 4:00:00,85.53,1115.29,142.71,1880.93,61.2,240.51
2020/3/20 下午 4:00:00,85.51,1072.32,137.35,1846.09,57.31,228.8
2020/3/23 下午 4:00:00,86.86,1056.62,135.98,1902.83,56.09,222.95
2020/3/24 下午 4:00:00,101,1134.46,148.34,1940.1,61.72,243.15
2020/3/25 下午 4:00:00,107.85,1102.49,146.92,1885.84,61.38,246.79
2020/3/26 下午 4:00:00,105.63,1161.75,156.11,1955.49,64.61,261.2
2020/3/27 下午 4:00:00,102.87,1110.71,149.7,1900.1,61.94,253.42
2020/3/30 下午 4:00:00,100.43,1146.82,160.23,1963.95,63.7,261.65
2020/3/31 下午 4:00:00,104.8,1162.81,157.71,1949.72,63.57,257.75
2020/4/1 下午 4:00:00,96.31,1105.62,152.11,1907.7,60.23,246.15
2020/4/2 下午 4:00:00,90.89,1120.84,155.26,1918.83,61.23,251.83
2020/4/3 下午 4:00:00,96,1097.88,153.83,1906.59,60.35,248.19
2020/4/6 下午 4:00:00,103.25,1186.92,165.27,1997.59,65.62,264.86
2020/4/7 下午 4:00:00,109.09,1186.51,163.49,2011.6,64.86,265.13
2020/4/8 下午 4:00:00,109.77,1210.28,165.13,2043,66.52,274.03
2020/4/9 下午 4:00:00,114.6,1211.45,165.14,2042.76,67,278.2
2020/4/13 下午 4:00:00,130.19,1217.56,165.51,2168.87,68.31,275.66
2020/4/14 下午 4:00:00,141.98,1269.23,173.7,2283.32,71.76,283.79
2020/4/15 下午 4:00:00,145.97,1262.47,171.88,2307.68,71.11,277.76
2020/4/16 下午 4:00:00,149.04,1263.47,177.04,2408.19,71.67,279.1
2020/4/17 下午 4:00:00,150.78,1283.25,178.6,2375,70.7,286.64
2020/4/20 下午 4:00:00,149.27,1266.61,175.06,2393.61,69.23,281.59
2020/4/21 下午 4:00:00,137.34,1216.34,167.82,2328.12,67.09,273.04
2020/4/22 下午 4:00:00,146.42,1263.21,173.52,2363.49,69.03,279.1
2020/4/23 下午 4:00:00,141.13,1276.31,171.42,2399.45,68.76,279.08
2020/4/24 下午 4:00:00,145.03,1279.31,174.55,2410.22,70.74,282.97
2020/4/27 下午 4:00:00,159.75,1275.88,174.05,2376,70.79,287.05
2020/4/28 下午 4:00:00,153.82,1233.67,169.81,2314.08,69.65,285.73
2020/4/29 下午 4:00:00,160.1,1341.48,177.43,2372.71,71.93,293.21
2020/4/30 下午 4:00:00,156.38,1348.66,179.21,2474,73.45,290.48
2020/5/1 下午 4:00:00,140.26,1320.61,174.57,2286.04,72.27,282.79
2020/5/4 下午 4:00:00,152.24,1326.8,178.84,2315.99,73.29,283.57
2020/5/5 下午 4:00:00,153.64,1351.11,180.76,2317.8,74.39,286.19
2020/5/6 下午 4:00:00,156.52,1347.3,182.54,2351.26,75.16,284.25
2020/5/7 下午 4:00:00,156.01,1372.56,183.6,2367.61,75.94,287.68
2020/5/8 下午 4:00:00,163.88,1388.37,184.68,2379.61,77.53,292.44
2020/5/11 下午 4:00:00,162.26,1403.26,186.74,2409,78.75,292.5
2020/5/12 下午 4:00:00,161.88,1375.74,182.51,2356.95,77.85,286.67
2020/5/13 下午 4:00:00,158.19,1349.33,179.75,2367.92,76.91,281.6
2020/5/14 下午 4:00:00,160.67,1356.13,180.53,2388.85,77.39,284.97
2020/5/15 下午 4:00:00,159.83,1373.19,183.16,2409.78,76.93,286.28
2020/5/18 下午 4:00:00,162.73,1383.94,184.91,2426.26,78.74,295
2020/5/19 下午 4:00:00,161.6,1373.49,183.63,2449.33,78.29,291.97
2020/5/20 下午 4:00:00,163.11,1406.72,185.66,2497.94,79.81,296.93
2020/5/21 下午 4:00:00,165.52,1402.8,183.43,2446.74,79.21,294.88
2020/5/22 下午 4:00:00,163.38,1410.42,183.51,2436.88,79.72,295.44
2020/5/26 下午 4:00:00,163.77,1417.02,181.57,2421.86,79.18,299.08
2020/5/27 下午 4:00:00,164.05,1417.84,181.81,2410.39,79.53,303.53
2020/5/28 下午 4:00:00,161.16,1416.73,181.4,2401.1,79.56,302.97
2020/5/29 下午 4:00:00,167,1428.92,183.25,2442.37,79.49,304.32
2020/6/1 下午 4:00:00,179.62,1431.82,182.83,2471.04,80.46,305.55
2020/6/2 下午 4:00:00,176.31,1439.22,184.91,2472.41,80.83,308.08
