DATE,FEDFUNDS,GDPPOT,GDPC1,SP500,GPDIC1,WEI
2012-10-01,0.16,16850.14906,16239.138,1426.19,2624.905,2.1
2013-01-01,0.14,16921.81411,16382.964,1569.19,2722.778,1.7
2013-04-01,0.09,16994.85865,16403.18,1606.28,2753.237,2.32
2013-07-01,0.08,17068.55201,16531.685,1681.55,2859.751,2.3
2013-10-01,0.09,17143.44149,16663.649,1848.36,2870.127,2.49
2014-01-01,0.08,17219.326259999998,16616.54,1872.34,2838.287,2.56
2014-04-01,0.10,17296.15209,16841.475,1960.23,2958.068,2.08
2014-07-01,0.09,17374.232659999998,17047.098,1972.29,3018.582,2.53
2014-10-01,0.12,17453.034069999998,17143.038,2058.90,3021.857,3.22
2015-01-01,0.11,17532.11313,17305.752,2067.89,3127.274,2.42
2015-04-01,0.13,17611.17808,17422.845,2063.11,3136.688,1.86
2015-07-01,0.14,17689.60324,17486.021,1920.03,3130.354,1.6
2015-10-01,0.24,17766.76,17514.062,2043.94,3092.707,1.07
2016-01-01,0.36,17843.15,17613.264,2059.74,3073.86,0.82
2016-04-01,0.38,17918.15,17668.203,2098.86,3047.027,1.52
2016-07-01,0.40,17991.97,17764.388,2168.27,3048.088,1.42
2016-10-01,0.54,18065.05,17876.179,2238.83,3130.106,2.2
2017-01-01,0.79,18137.7,17977.299,2362.72,3120.373,2.52
2017-04-01,1.04,18211.07,18054.052,2423.41,3149.115,2.13
2017-07-01,1.15,18287.13,18185.636,2519.36,3207.492,2.33
2017-10-01,1.30,18365.29,18359.432,2673.61,3256.712,2.53
2018-01-01,1.51,18446.4,18530.483,2640.87,3342.469,2.23
2018-04-01,1.82,18530.51,18654.383,2718.37,3333.26,2.53
2018-07-01,1.95,18617.42,18752.355,2913.98,3415.408,2.78
2018-10-01,2.27,18705.53,18813.923,2506.85,3448.297,2.33
2019-01-01,2.41,18794.82,18950.347,2834.4,3481.311,2.05
2019-04-01,2.38,18885.48,19020.599,2941.76,3429.949,1.78
2019-07-01,2.04,18976.49,19141.744,2976.74,3445.703,1.55
2019-10-01,1.55,19065.58,19253.959,3230.78,3413.313,1.94
2020-01-01,0.65,19153.98,19010.848,2584.59,3333.963,-7.04
2020-04-01,0.08,19242.04,17302.511,3100.29,2849.792,-7.62
2020-07-01,0.09,19327.31,18596.521,3363.0,3329.625,-4.9
2020-10-01,0.09,19414.16,18794.426,3756.07,3539.863,-0.64
